Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
908,334,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
909,335,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
910,336,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
911,337,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
912,338,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
913,339,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
914,340,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
915,341,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
916,342,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
917,343,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
918,344,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
919,345,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
920,346,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
921,347,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
922,348,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
923,349,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
924,350,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
925,351,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
926,352,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
927,353,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
928,354,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
929,355,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
930,356,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
931,357,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
932,358,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
933,359,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
934,360,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
935,361,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
936,362,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
937,363,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
